tweet_id,favorites,retweets,user_followers,user_favourites,date_time
684481074559381504,3851,1156,8796143,145903,2016-01-05 21:06:19+00:00
684460069371654144,1956,556,8796143,145903,2016-01-05 19:42:51+00:00
684241637099323392,8043,3234,8796143,145903,2016-01-05 05:14:53+00:00
684225744407494656,1216,206,8796143,145903,2016-01-05 04:11:44+00:00
684222868335505415,3779,1352,8796143,145903,2016-01-05 04:00:18+00:00
684200372118904832,2128,1021,8796143,145903,2016-01-05 02:30:55+00:00
684195085588783105,1882,503,8796143,145903,2016-01-05 02:09:54+00:00
684188786104872960,3460,1158,8796143,145903,2016-01-05 01:44:52+00:00
684177701129875456,1995,657,8796143,145903,2016-01-05 01:00:50+00:00
684147889187209216,2953,1496,8796143,145903,2016-01-04 23:02:22+00:00
684122891630342144,1985,463,8796143,145903,2016-01-04 21:23:02+00:00
684097758874210310,4070,1412,8796143,145903,2016-01-04 19:43:10+00:00
683857920510050305,3768,1109,8796143,145903,2016-01-04 03:50:08+00:00
683852578183077888,1920,340,8796143,145903,2016-01-04 03:28:54+00:00
683849932751646720,2584,951,8796143,145903,2016-01-04 03:18:23+00:00
683834909291606017,2597,1096,8796143,145903,2016-01-04 02:18:42+00:00
683828599284170753,2765,1052,8796143,145903,2016-01-04 01:53:37+00:00
683773439333797890,3309,1330,8796143,145903,2016-01-03 22:14:26+00:00
683742671509258241,6396,3249,8796143,145903,2016-01-03 20:12:10+00:00
683515932363329536,7254,2841,8796143,145903,2016-01-03 05:11:12+00:00
683498322573824003,3140,951,8796143,145903,2016-01-03 04:01:13+00:00
683481228088049664,2632,986,8796143,145903,2016-01-03 02:53:17+00:00
683462770029932544,2402,663,8796143,145903,2016-01-03 01:39:57+00:00
683449695444799489,3847,1582,8796143,145903,2016-01-03 00:47:59+00:00
683391852557561860,7555,2370,8796143,145903,2016-01-02 20:58:09+00:00
683357973142474752,2875,902,8796143,145903,2016-01-02 18:43:31+00:00
683142553609318400,2838,1029,8796143,145903,2016-01-02 04:27:31+00:00
683111407806746624,3363,895,8796143,145903,2016-01-02 02:23:45+00:00
683098815881154561,2142,647,8796143,145903,2016-01-02 01:33:43+00:00
683078886620553216,1968,552,8796143,145903,2016-01-02 00:14:32+00:00
683030066213818368,2142,729,8796143,145903,2016-01-01 21:00:32+00:00
682962037429899265,36367,16317,8796143,145903,2016-01-01 16:30:13+00:00
682808988178739200,1759,166,8796143,145903,2016-01-01 06:22:03+00:00
682788441537560576,2449,1093,8796143,145903,2016-01-01 05:00:24+00:00
682750546109968385,1503,429,8796143,145903,2016-01-01 02:29:49+00:00
682697186228989953,1303,355,8796143,145903,2015-12-31 22:57:47+00:00
682662431982772225,3028,1064,8796143,145903,2015-12-31 20:39:41+00:00
682638830361513985,2055,590,8796143,145903,2015-12-31 19:05:54+00:00
682429480204398592,3399,1138,8796143,145903,2015-12-31 05:14:01+00:00
682406705142087680,7465,1743,8796143,145903,2015-12-31 03:43:31+00:00
682393905736888321,2211,658,8796143,145903,2015-12-31 02:52:40+00:00
682389078323662849,1640,451,8796143,145903,2015-12-31 02:33:29+00:00
682303737705140231,3021,958,8796143,145903,2015-12-30 20:54:22+00:00
682259524040966145,4085,1183,8796143,145903,2015-12-30 17:58:40+00:00
682242692827447297,3211,1145,8796143,145903,2015-12-30 16:51:48+00:00
682088079302213632,18020,9717,8796143,145903,2015-12-30 06:37:25+00:00
682059653698686977,4875,1656,8796143,145903,2015-12-30 04:44:28+00:00
682047327939461121,3159,922,8796143,145903,2015-12-30 03:55:29+00:00
682032003584274432,6497,1973,8796143,145903,2015-12-30 02:54:35+00:00
682003177596559360,3084,1497,8796143,145903,2015-12-30 01:00:03+00:00
681981167097122816,2781,1019,8796143,145903,2015-12-29 23:32:35+00:00
681891461017812993,2444,804,8796143,145903,2015-12-29 17:36:07+00:00
681694085539872773,12657,4005,8796143,145903,2015-12-29 04:31:49+00:00
681679526984871937,1752,432,8796143,145903,2015-12-29 03:33:58+00:00
681654059175129088,2609,912,8796143,145903,2015-12-29 01:52:46+00:00
681610798867845120,1883,459,8796143,145903,2015-12-28 23:00:52+00:00
681579835668455424,3510,1279,8796143,145903,2015-12-28 20:57:50+00:00
681523177663676416,14112,5677,8796143,145903,2015-12-28 17:12:42+00:00
681340665377193984,1632,275,8796143,145903,2015-12-28 05:07:27+00:00
681339448655802368,9173,4031,8796143,145903,2015-12-28 05:02:37+00:00
681320187870711809,2614,730,8796143,145903,2015-12-28 03:46:05+00:00
681302363064414209,3888,1789,8796143,145903,2015-12-28 02:35:15+00:00
681297372102656000,3176,940,8796143,145903,2015-12-28 02:15:26+00:00
681281657291280384,3195,1087,8796143,145903,2015-12-28 01:12:59+00:00
681261549936340994,1440,267,8796143,145903,2015-12-27 23:53:05+00:00
681242418453299201,1471,523,8796143,145903,2015-12-27 22:37:04+00:00
681231109724700672,2380,477,8796143,145903,2015-12-27 21:52:07+00:00
681193455364796417,3649,1455,8796143,145903,2015-12-27 19:22:30+00:00
680970795137544192,2392,646,8796143,145903,2015-12-27 04:37:44+00:00
680959110691590145,4528,1975,8796143,145903,2015-12-27 03:51:18+00:00
680940246314430465,3165,1036,8796143,145903,2015-12-27 02:36:20+00:00
680934982542561280,2065,428,8796143,145903,2015-12-27 02:15:25+00:00
680913438424612864,2374,612,8796143,145903,2015-12-27 00:49:49+00:00
680889648562991104,1740,357,8796143,145903,2015-12-26 23:15:17+00:00
680836378243002368,3420,1299,8796143,145903,2015-12-26 19:43:36+00:00
680805554198020098,2133,656,8796143,145903,2015-12-26 17:41:07+00:00
680801747103793152,2352,807,8796143,145903,2015-12-26 17:25:59+00:00
680798457301471234,2816,1013,8796143,145903,2015-12-26 17:12:55+00:00
680609293079592961,2600,689,8796143,145903,2015-12-26 04:41:15+00:00
680583894916304897,3575,1312,8796143,145903,2015-12-26 03:00:19+00:00
680497766108381184,4184,1876,8796143,145903,2015-12-25 21:18:05+00:00
680494726643068929,1699,478,8796143,145903,2015-12-25 21:06:00+00:00
680473011644985345,2512,735,8796143,145903,2015-12-25 19:39:43+00:00
680440374763077632,1426,494,8796143,145903,2015-12-25 17:30:01+00:00
680221482581123072,1448,290,8796143,145903,2015-12-25 03:00:14+00:00
680206703334408192,2794,1146,8796143,145903,2015-12-25 02:01:30+00:00
680191257256136705,2113,491,8796143,145903,2015-12-25 01:00:07+00:00
680176173301628928,3841,1524,8796143,145903,2015-12-25 00:00:11+00:00
680161097740095489,2291,723,8796143,145903,2015-12-24 23:00:17+00:00
680145970311643136,3565,1708,8796143,145903,2015-12-24 22:00:10+00:00
680130881361686529,2256,926,8796143,145903,2015-12-24 21:00:12+00:00
680115823365742593,2682,888,8796143,145903,2015-12-24 20:00:22+00:00
680100725817409536,3522,1348,8796143,145903,2015-12-24 19:00:23+00:00
680085611152338944,12643,8841,8796143,145903,2015-12-24 18:00:19+00:00
680070545539371008,2549,846,8796143,145903,2015-12-24 17:00:27+00:00
679877062409191424,1961,640,8796143,145903,2015-12-24 04:11:37+00:00
679872969355714560,2154,652,8796143,145903,2015-12-24 03:55:21+00:00
679862121895714818,2419,604,8796143,145903,2015-12-24 03:12:15+00:00
679854723806179328,2809,1205,8796143,145903,2015-12-24 02:42:51+00:00
679844490799091713,2337,747,8796143,145903,2015-12-24 02:02:12+00:00
679828447187857408,35716,13763,8796143,145903,2015-12-24 00:58:27+00:00
679777920601223168,3055,1081,8796143,145903,2015-12-23 21:37:40+00:00
679736210798047232,2067,777,8796143,145903,2015-12-23 18:51:56+00:00
679729593985699840,2138,809,8796143,145903,2015-12-23 18:25:38+00:00
679722016581222400,1638,459,8796143,145903,2015-12-23 17:55:32+00:00
679530280114372609,4721,2045,8796143,145903,2015-12-23 05:13:38+00:00
679527802031484928,2598,710,8796143,145903,2015-12-23 05:03:47+00:00
679511351870550016,3307,1244,8796143,145903,2015-12-23 03:58:25+00:00
679503373272485890,3125,1440,8796143,145903,2015-12-23 03:26:43+00:00
679475951516934144,2064,626,8796143,145903,2015-12-23 01:37:45+00:00
679462823135686656,31059,18425,8796143,145903,2015-12-23 00:45:35+00:00
679405845277462528,2336,1177,8796143,145903,2015-12-22 20:59:10+00:00
679158373988876288,20917,7879,8796143,145903,2015-12-22 04:35:49+00:00
679148763231985668,2731,1007,8796143,145903,2015-12-22 03:57:37+00:00
679132435750195208,2925,1132,8796143,145903,2015-12-22 02:52:45+00:00
679111216690831360,5864,2531,8796143,145903,2015-12-22 01:28:25+00:00
679062614270468097,16654,7906,8796143,145903,2015-12-21 22:15:18+00:00
679047485189439488,2211,650,8796143,145903,2015-12-21 21:15:11+00:00
679001094530465792,2780,1196,8796143,145903,2015-12-21 18:10:50+00:00
678991772295516161,2259,1132,8796143,145903,2015-12-21 17:33:48+00:00
678969228704284672,1614,447,8796143,145903,2015-12-21 16:04:13+00:00
